image_index,fname,true_label,success,n_evals,best_f,final_pred
9394,cifar10_9394,5,True,400,-0.10000000149011612,
898,cifar10_898,3,True,400,-0.10000000149011612,
2398,cifar10_2398,8,True,400,-0.10000000149011612,
5906,cifar10_5906,4,True,400,-0.10000000149011612,
2343,cifar10_2343,6,True,400,-0.10000000149011612,
8225,cifar10_8225,9,True,400,-0.10000000149011612,
5506,cifar10_5506,3,True,400,-0.10000000149011612,
6451,cifar10_6451,1,True,400,-0.10000000149011612,
2670,cifar10_2670,9,True,400,-0.10000000149011612,
3497,cifar10_3497,0,True,400,-0.10000000149011612,
1087,cifar10_1087,6,True,400,-0.10000000149011612,
1819,cifar10_1819,0,True,400,-0.10000000149011612,
2308,cifar10_2308,1,True,400,-0.10000000149011612,
6084,cifar10_6084,1,True,400,-0.10000000149011612,
3724,cifar10_3724,6,True,400,-0.10000000149011612,
3184,cifar10_3184,0,True,400,-0.10000000149011612,
6387,cifar10_6387,2,True,400,-0.10000000149011612,
3728,cifar10_3728,2,True,400,-0.10000000149011612,
2702,cifar10_2702,6,True,400,-0.10000000149011612,
7883,cifar10_7883,9,True,400,-0.10000000149011612,
2930,cifar10_2930,7,True,400,-0.10000000149011612,
5988,cifar10_5988,9,True,400,-0.10000000149011612,
4890,cifar10_4890,1,True,400,-0.10000000149011612,
6718,cifar10_6718,8,True,400,-0.10000000149011612,
5423,cifar10_5423,6,True,400,-0.10000000149011612,
3213,cifar10_3213,9,True,400,-0.10000000149011612,
3017,cifar10_3017,5,True,400,-0.10000000149011612,
382,cifar10_382,0,True,400,-0.10000000149011612,
4237,cifar10_4237,1,True,400,-0.10000000149011612,
4721,cifar10_4721,1,True,400,-0.10000000149011612,
9547,cifar10_9547,4,True,400,-0.10000000149011612,
9477,cifar10_9477,5,True,400,-0.10000000149011612,
4795,cifar10_4795,5,True,400,-0.10000000149011612,
4747,cifar10_4747,5,True,400,-0.10000000149011612,
9366,cifar10_9366,2,True,400,-0.10000000149011612,
5334,cifar10_5334,6,True,400,-0.10000000149011612,
6652,cifar10_6652,2,True,400,-0.10000000149011612,
9032,cifar10_9032,9,True,400,-0.10000000149011612,
580,cifar10_580,4,True,400,-0.10000000149011612,
9491,cifar10_9491,8,True,400,-0.10000000149011612,
6526,cifar10_6526,8,True,400,-0.10000000149011612,
4346,cifar10_4346,3,True,400,-0.10000000149011612,
4974,cifar10_4974,7,True,400,-0.10000000149011612,
7913,cifar10_7913,8,True,400,-0.10000000149011612,
5611,cifar10_5611,5,True,400,-0.10000000149011612,
8480,cifar10_8480,2,True,400,-0.10000000149011612,
6625,cifar10_6625,4,True,400,-0.10000000149011612,
5615,cifar10_5615,5,True,400,-0.10000000149011612,
5602,cifar10_5602,4,True,400,-0.10000000149011612,
4857,cifar10_4857,6,True,400,-0.10000000149011612,
6734,cifar10_6734,8,True,400,-0.10000000149011612,
8451,cifar10_8451,5,True,400,-0.10000000149011612,
6332,cifar10_6332,5,True,400,-0.10000000149011612,
6798,cifar10_6798,8,True,400,-0.10000000149011612,
5313,cifar10_5313,3,True,400,-0.10000000149011612,
2821,cifar10_2821,0,True,400,-0.10000000149011612,
9300,cifar10_9300,5,True,400,-0.10000000149011612,
2375,cifar10_2375,0,True,400,-0.10000000149011612,
1478,cifar10_1478,7,True,400,-0.10000000149011612,
5013,cifar10_5013,0,True,400,-0.10000000149011612,
1559,cifar10_1559,5,True,400,-0.10000000149011612,
8885,cifar10_8885,3,True,400,-0.10000000149011612,
