image_index,fname,true_label,success,n_evals,best_f,final_pred
9394,cifar10_9394,5,True,40400,-0.000510416692122817,0.0
898,cifar10_898,3,True,40400,-0.005252455826848745,8.0
2398,cifar10_2398,8,True,40400,-0.010153868235647678,0.0
5906,cifar10_5906,4,True,40400,-0.0018957908032462,0.0
2343,cifar10_2343,6,True,40400,-0.0004945046384818852,0.0
8225,cifar10_8225,9,True,40400,-0.00044805125799030066,0.0
5506,cifar10_5506,3,True,40400,-0.005376849323511124,8.0
6451,cifar10_6451,1,True,40400,-0.00035756529541686177,0.0
2670,cifar10_2670,9,True,40400,-0.0004171337350271642,0.0
3497,cifar10_3497,0,True,40400,-0.007300616707652807,8.0
1087,cifar10_1087,6,True,40400,-0.0004998461226932704,0.0
1819,cifar10_1819,0,True,40400,-0.0073683965019881725,8.0
2308,cifar10_2308,1,True,40400,-0.00038494449108839035,0.0
6084,cifar10_6084,1,True,40400,-0.0003667575365398079,0.0
3724,cifar10_3724,6,True,40400,-0.0004897603066638112,0.0
3184,cifar10_3184,0,True,40400,-0.0074852025136351585,8.0
6387,cifar10_6387,2,True,40400,-0.005669671110808849,0.0
3728,cifar10_3728,2,True,40400,-0.005702873691916466,0.0
2702,cifar10_2702,6,True,40400,-0.0004936041659675539,0.0
7883,cifar10_7883,9,True,40400,-0.0004065169196110219,0.0
2930,cifar10_2930,7,True,40400,-0.0002083304279949516,8.0
5988,cifar10_5988,9,True,40400,-0.0004374119744170457,0.0
4890,cifar10_4890,1,True,40400,-0.00037590134888887405,0.0
6718,cifar10_6718,8,True,400,-0.12178376317024231,
5423,cifar10_5423,6,True,40400,-0.0005102570867165923,0.0
3213,cifar10_3213,9,True,40400,-0.00041364956996403635,0.0
3017,cifar10_3017,5,True,40400,-0.00047935545444488525,0.0
382,cifar10_382,0,True,40400,-0.007206415291875601,8.0
4237,cifar10_4237,1,True,40400,-0.0003667363489512354,0.0
4721,cifar10_4721,1,True,40400,-0.0003662642266135663,0.0
9547,cifar10_9547,4,True,40400,-0.0018730537267401814,0.0
9477,cifar10_9477,5,True,40400,-0.0004729337524622679,0.0
4795,cifar10_4795,5,True,40400,-0.0004937369376420975,0.0
4747,cifar10_4747,5,True,40400,-0.0005350227002054453,0.0
9366,cifar10_9366,2,True,40400,-0.005689177196472883,0.0
5334,cifar10_5334,6,True,40400,-0.0004917330807074904,0.0
6652,cifar10_6652,2,True,40400,-0.005725512281060219,0.0
